id1,id2,count,name1,name2,reason_code,reason
981760,1029743,39,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
981760,995242,38,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,883404,29,HAMBURGER BUNS,MAINSTREAM WHITE BREAD,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
981760,1133018,25,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
981760,1106523,24,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
923746,1106523,22,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
994928,1106523,20,EGGS - MEDIUM,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
923746,1029743,20,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
840361,1029743,19,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
883404,1096036,18,MAINSTREAM WHITE BREAD,IWS SINGLE CHEESE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5584007,17,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5588666,15,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
923746,995242,15,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5582789,14,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
981760,1070820,14,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1022003,1029743,14,CONDENSED SOUP,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
840361,1106523,14,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5590287,13,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
840361,995242,13,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,840361,13,HAMBURGER BUNS,EGGS - LARGE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,951590,13,HAMBURGER BUNS,MAINSTREAM WHITE BREAD,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5585635,13,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1029743,1050229,12,FLUID MILK WHITE ONLY,CONDENSED SOUP,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
981760,1058997,12,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
859075,981760,12,SHREDDED CHEESE,EGGS - X-LARGE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5584027,11,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,1096036,11,HAMBURGER BUNS,IWS SINGLE CHEESE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5585639,11,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
929668,1106523,11,MACARONI & CHEESE DNRS,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5585735,11,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5586942,10,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
859075,951590,10,SHREDDED CHEESE,MAINSTREAM WHITE BREAD,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
895070,1082185,10,YOGURT NOT MULTI-PACKS,BANANAS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
883404,1101010,9,MAINSTREAM WHITE BREAD,MEAT: LUNCHMEAT BULK,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,999971,9,HAMBURGER BUNS,MAINSTREAM WHITE BREAD,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,849843,9,HAMBURGER BUNS,MAINSTREAM WHEAT/MULTIGRAIN BR,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
896369,981760,9,PEANUT BUTTER,EGGS - X-LARGE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
929668,1029743,9,MACARONI & CHEESE DNRS,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
883404,896369,9,MAINSTREAM WHITE BREAD,PEANUT BUTTER,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
893018,951590,9,IWS SINGLE CHEESE,MAINSTREAM WHITE BREAD,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
870780,1082185,9,YOGURT NOT MULTI-PACKS,BANANAS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
994928,1133018,9,EGGS - MEDIUM,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
976199,981760,9,BUTTER,EGGS - X-LARGE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
833025,981760,9,SOUR CREAMS,EGGS - X-LARGE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
981760,1126899,9,EGGS - X-LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,994928,8,HAMBURGER BUNS,EGGS - MEDIUM,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5585727,8,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,834484,8,HAMBURGER BUNS,ONIONS OTHER,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
883404,893018,8,MAINSTREAM WHITE BREAD,IWS SINGLE CHEESE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
840361,1070820,8,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1082185,5583944,8,BANANAS,YOGURT NOT MULTI-PACKS,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
1029624,1029743,8,MACARONI & CHEESE DNRS,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
840361,862349,8,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,913785,8,HAMBURGER BUNS,CATSUP,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
923746,1058997,8,EGGS - LARGE,FLUID MILK WHITE ONLY,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
826249,923746,8,HAMBURGER BUNS,EGGS - LARGE,COMPLEMENTARY,Функционально связанные продукты: один повышает полезность другого.
