id1,id2,count,name1,name2,reason_code,reason
826249,1098066,65,HAMBURGER BUNS,HOT DOG BUNS,SUBSTITUTE,"Прямые заменители: выполняют одну функцию, покупатель выбирает одно ИЛИ другое."
8090521,8090537,22,SOFT DRINKS 12/18&15PK CAN CAR,SOFT DRINKS 12/18&15PK CAN CAR,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
995242,1058997,19,FLUID MILK WHITE ONLY,FLUID MILK WHITE ONLY,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
844165,1092026,18,SFT DRNK 2 LITER BTL CARB INCL,SFT DRNK 2 LITER BTL CARB INCL,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5569230,5569845,17,SOFT DRINKS 12/18&15PK CAN CAR,SOFT DRINKS 12/18&15PK CAN CAR,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
995242,1133018,17,FLUID MILK WHITE ONLY,FLUID MILK WHITE ONLY,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
1029743,1106523,17,FLUID MILK WHITE ONLY,FLUID MILK WHITE ONLY,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5978648,5978656,16,,,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
849843,883404,15,MAINSTREAM WHEAT/MULTIGRAIN BR,MAINSTREAM WHITE BREAD,SUBSTITUTE,"Прямые заменители: выполняют одну функцию, покупатель выбирает одно ИЛИ другое."
1022003,1050229,14,CONDENSED SOUP,CONDENSED SOUP,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
916381,1053690,14,SFT DRNK 2 LITER BTL CARB INCL,SFT DRNK 2 LITER BTL CARB INCL,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5584007,5588666,13,YOGURT NOT MULTI-PACKS,YOGURT NOT MULTI-PACKS,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5569230,5569471,13,SOFT DRINKS 12/18&15PK CAN CAR,SOFT DRINKS 12/18&15PK CAN CAR,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
910745,1110793,12,VARIETY BEANS - KIDNEY PINTO,VARIETY BEANS - KIDNEY PINTO,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5584007,5585635,12,YOGURT NOT MULTI-PACKS,YOGURT NOT MULTI-PACKS,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
985119,1033615,12,DAIRY CASE FRUIT DRINKS (NO JU,DAIRY CASE FRUIT DRINKS (NO JU,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5584007,5585735,12,YOGURT NOT MULTI-PACKS,YOGURT NOT MULTI-PACKS,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5585635,5588666,12,YOGURT NOT MULTI-PACKS,YOGURT NOT MULTI-PACKS,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
989075,1053763,11,SOFT DRINK POWDER POUCHES,SOFT DRINK POWDER POUCHES,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5568378,5569327,11,TORTILLA/NACHO CHIPS,TORTILLA/NACHO CHIPS,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
8090509,8090521,11,SOFT DRINKS 12/18&15PK CAN CAR,SOFT DRINKS 12/18&15PK CAN CAR,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
5584007,5590287,11,YOGURT NOT MULTI-PACKS,YOGURT NOT MULTI-PACKS,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
892008,930917,10,PASTA: CANNED,PASTA: CANNED,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
893501,1053690,10,SFT DRNK 2 LITER BTL CARB INCL,SFT DRNK 2 LITER BTL CARB INCL,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
1106523,1126899,10,FLUID MILK WHITE ONLY,FLUID MILK WHITE ONLY,SAME,Одинаковое название товара — повторная закупка или разные SKU одного продукта.
